Beat,Position,Pitch,Type
0.0,0,0,1
7.0,0,55,0
8.0,1,67,0
9.5,2,65,0
10.0,3,63,0
10.5,4,62,0
11.5,5,60,0
15.0,6,58,0
16.0,7,56,0
18.0,8,67,0
19.5,9,65,0
24.0,10,65,0
25.5,11,63,0
26.0,12,62,0
26.5,13,60,0
27.5,14,58,0
31.0,15,56,0
32.0,16,55,0
34.0,17,65,0
35.5,18,63,0
40.0,19,63,0
41.5,20,61,0
42.0,21,60,0
42.5,22,58,0
43.5,23,56,0
47.0,24,54,0
48.0,25,54,0
49.0,26,53,0
49.5,27,58,0
50.5,28,56,0
51.5,29,56,0
55.5,30,56,0
56.0,31,56,0
56.5,32,55,0
57.5,33,58,0
59.5,34,56,0
60.0,35,56,0
60.5,36,55,0
61.5,37,58,0
63.0,38,56,0
63.5,39,55,0
71.0,40,55,0
72.0,41,67,0
73.5,42,65,0
74.0,43,63,0
74.5,44,62,0
75.5,45,60,0
79.0,46,58,0
80.0,47,56,0
82.0,48,67,0
83.5,49,65,0
88.0,50,65,0
89.5,51,63,0
90.0,52,62,0
90.5,53,60,0
91.5,54,58,0
95.0,55,56,0
96.0,56,55,0
98.0,57,65,0
99.5,58,63,0
104.0,59,63,0
105.5,60,61,0
106.0,61,60,0
106.5,62,58,0
107.5,63,56,0
111.0,64,54,0
112.0,65,54,0
113.0,66,53,0
113.5,67,58,0
114.5,68,56,0
115.5,69,56,0
119.5,70,56,0
120.0,71,56,0
121.0,72,55,0
121.5,73,58,0
123.5,74,56,0
124.0,75,56,0
124.5,76,55,0
125.5,77,58,0
127.0,78,56,0
127.5,79,55,0
136.0,80,0,4
