Beat,Position,Pitch,Type
4.0,0,0,1
6.5,0,63,0
8.0,1,59,0
12.0,2,68,0
13.0,3,66,0
15.0,4,68,0
16.0,5,58,0
20.0,6,70,0
21.0,7,68,0
22.5,8,70,0
24.0,9,63,0
28.0,10,73,0
29.0,11,71,0
30.5,12,63,0
32.0,13,66,0
36.0,14,75,0
37.0,15,73,0
39.5,16,66,0
40.0,17,71,0
41.0,18,70,0
42.0,19,71,0
43.5,20,73,0
44.0,21,71,0
44.666666666666664,22,70,0
45.333333333333336,23,69,0
46.0,24,68,0
47.5,25,67,0
48.0,26,66,0
49.5,27,66,0
55.0,28,66,0
56.0,29,68,0
57.5,30,67,0
58.0,31,68,0
59.5,32,70,0
60.0,33,68,0
60.666666666666664,34,67,0
61.333333333333336,35,66,0
62.0,36,65,0
63.0,37,64,0
64.0,38,63,0
65.5,39,63,0
70.5,40,63,0
72.0,41,59,0
76.0,42,68,0
77.0,43,66,0
78.5,44,68,0
80.0,45,58,0
84.0,46,70,0
85.0,47,68,0
86.5,48,70,0
88.0,49,63,0
92.0,50,73,0
93.0,51,71,0
94.5,52,63,0
96.0,53,66,0
100.0,54,75,0
101.0,55,73,0
103.5,56,66,0
104.0,57,71,0
105.5,58,70,0
106.0,59,71,0
107.0,60,73,0
108.0,61,75,0
108.66666666666667,62,73,0
109.33333333333333,63,71,0
110.0,64,70,0
110.5,65,69,0
111.5,66,68,0
116.0,67,71,0
116.66666666666667,68,70,0
117.33333333333333,69,69,0
118.0,70,68,0
119.0,71,67,0
120.0,72,66,0
124.0,73,70,0
124.66666666666667,74,68,0
125.33333333333333,75,67,0
126.0,76,66,0
127.0,77,73,0
127.5,78,71,0
128.0,78,0,4
