Beat,Position,Pitch,Type
0.0,0,0,1
0.5,0,76,0
1.5,1,74,0
2.0,2,72,0
2.5,3,67,0
3.0,4,65,0
3.5,5,64,0
7.0,6,0,1
8.5,6,76,0
9.5,7,74,0
10.0,8,72,0
10.5,9,67,0
11.0,10,65,0
12.0,11,64,0
16.0,12,0,1
16.5,12,67,0
17.5,13,65,0
18.0,14,64,0
18.5,15,62,0
19.0,16,60,0
19.5,17,72,0
21.5,18,69,0
24.0,19,0,1
24.5,19,64,0
25.0,20,65,0
25.5,21,66,0
26.0,22,67,0
26.5,23,60,0
27.0,24,63,0
27.5,25,64,0
28.0,26,60,0
32.0,27,0,1
32.5,27,76,0
33.5,28,74,0
34.0,29,72,0
34.5,30,67,0
35.0,31,65,0
35.5,32,64,0
39.0,33,0,1
40.5,33,76,0
41.5,34,74,0
42.0,35,72,0
42.5,36,67,0
43.0,37,65,0
44.0,38,64,0
48.0,39,0,1
48.5,39,67,0
49.5,40,65,0
50.0,41,64,0
50.5,42,62,0
51.0,43,60,0
51.5,44,72,0
53.5,45,69,0
56.0,46,0,1
56.5,46,64,0
57.0,47,65,0
57.5,48,66,0
58.0,49,67,0
58.5,50,60,0
59.0,51,63,0
59.5,52,64,0
60.0,53,60,0
63.5,54,74,0
65.5,55,72,0
66.5,56,69,0
67.5,57,72,0
71.0,58,72,0
71.5,59,74,0
73.5,60,72,0
74.5,61,67,0
75.5,62,64,0
78.5,63,72,0
80.0,64,74,0
82.0,65,72,0
82.5,66,69,0
83.5,67,72,0
88.0,68,0,1
88.5,68,71,2
88.5,69,71,0
89.5,70,71,0
90.0,71,71,0
90.5,72,69,0
91.5,73,67,0
92.5,74,76,0
93.5,75,74,0
94.0,76,72,0
94.5,77,67,0
95.0,78,65,0
96.0,79,64,0
100.0,80,0,1
100.5,80,76,0
101.5,81,74,0
102.0,82,72,0
102.5,83,67,0
103.0,84,65,0
104.0,85,64,0
108.0,86,0,1
108.5,86,67,0
109.5,87,65,0
110.0,88,64,0
110.5,89,62,0
111.0,90,60,0
111.5,91,72,0
113.5,92,69,0
116.0,93,0,1
116.5,93,64,0
117.0,94,65,0
117.5,95,66,0
118.0,96,67,0
118.5,97,60,0
119.0,98,63,0
119.5,99,64,0
120.0,100,60,0
124.0,101,0,1
124.5,101,76,0
125.5,102,74,0
126.0,103,72,0
126.5,104,67,0
127.0,105,65,0
128.0,105,0,4
