Beat,Position,Pitch,Type
12.0,0,0,1
15.5,0,67,0
20.5,1,76,0
21.5,2,67,0
22.5,3,72,0
23.5,4,76,0
24.0,5,68,0
31.5,6,69,0
35.5,7,69,0
36.5,8,70,0
37.0,9,71,0
37.5,10,76,0
38.0,11,67,0
38.5,12,66,0
39.0,13,65,0
39.5,14,74,0
40.0,15,72,0
40.5,16,64,0
48.0,17,67,0
