Beat,Position,Pitch,Type
0.0,0,0,1
8.5,0,63,0
9.0,1,65,0
9.5,2,63,0
10.0,3,70,0
10.5,4,70,0
12.0,5,65,0
12.666666666666666,6,67,0
13.333333333333334,7,65,0
14.0,8,72,0
16.0,9,0,1
16.5,9,70,0
17.0,10,72,0
17.5,11,70,0
18.0,12,75,0
18.5,13,75,0
19.5,14,74,0
20.0,15,77,0
20.666666666666668,16,75,0
21.333333333333332,17,72,0
22.0,18,67,0
22.333333333333332,19,66,0
22.666666666666668,20,65,0
24.0,21,0,1
24.5,21,63,0
25.0,22,65,0
25.5,23,63,0
26.0,24,70,0
26.5,25,70,0
28.0,26,65,0
28.666666666666668,27,67,0
29.333333333333332,28,65,0
30.0,29,72,0
31.0,30,70,0
31.5,31,67,0
38.0,31,0,1
40.5,32,63,0
41.0,33,65,0
41.5,34,63,0
42.0,35,70,0
42.5,36,70,0
44.0,37,65,0
44.5,38,67,0
45.0,39,65,0
45.5,40,72,0
48.0,41,0,1
48.5,41,70,0
49.0,42,72,0
49.5,43,70,0
50.0,44,75,0
50.5,45,75,0
51.5,46,74,0
52.0,47,77,0
52.666666666666664,48,75,0
53.333333333333336,49,72,0
54.0,50,67,0
54.25,51,66,0
54.5,52,65,0
56.0,53,0,1
56.5,53,63,0
57.0,54,65,0
57.5,55,63,0
58.0,56,70,0
58.5,57,70,0
60.0,58,65,0
60.5,59,67,0
61.0,60,65,0
61.5,61,72,0
63.0,62,70,0
63.5,63,63,0
70.0,64,0,1
72.5,64,75,0
73.5,65,72,0
74.0,66,75,0
74.5,67,72,0
76.0,68,0,1
76.5,68,75,0
77.5,69,72,0
78.0,70,75,0
78.5,71,72,0
80.0,72,0,1
80.5,72,75,0
81.5,73,72,0
82.0,74,75,0
82.5,75,72,0
84.0,76,0,1
84.5,76,76,0
85.5,77,72,0
86.0,78,76,0
86.5,79,72,0
88.0,80,0,1
88.5,80,77,0
90.0,81,77,0
91.0,82,77,0
92.0,83,77,0
93.0,84,75,0
94.0,85,74,0
95.0,86,72,0
95.5,87,70,0
98.0,88,71,2
98.0,89,72,0
100.0,90,66,2
100.0,91,67,0
101.5,92,65,0
104.0,93,0,1
104.5,93,63,0
105.0,94,65,0
105.5,95,63,0
106.0,96,70,0
106.5,97,70,0
108.0,98,65,0
108.5,99,67,0
109.0,100,65,0
109.5,101,72,0
112.0,102,0,1
112.5,102,70,0
113.0,103,72,0
113.5,104,70,0
114.0,105,75,0
114.5,106,75,0
115.5,107,74,0
116.0,108,77,0
116.66666666666667,109,75,0
117.33333333333333,110,72,0
118.0,111,67,0
118.25,112,66,0
118.5,113,65,0
120.0,114,0,1
120.5,114,63,0
121.0,115,65,0
121.5,116,63,0
122.0,117,70,0
122.5,118,70,0
124.0,119,65,0
124.5,120,67,0
125.0,121,65,0
125.5,122,72,0
127.0,123,70,0
127.5,124,75,0
132.0,125,0,1
136.0,125,0,4
